Kinase,Group,Family,Gene Symbol
AKT1,AGC,Akt,AKT1
AKT2,AGC,Akt,AKT2
AKT3,AGC,Akt,AKT3
CRIK,AGC,DMPK,CIT
DMPK1,AGC,DMPK,DMPK
MRCKa,AGC,DMPK,CDC42BPA
MRCKb,AGC,DMPK,CDC42BPB
DMPK2,AGC,DMPK,CDC42BPG
ROCK1,AGC,DMPK,ROCK1
ROCK2,AGC,DMPK,ROCK2
BARK1,AGC,GRK,ADRBK1
BARK2,AGC,GRK,ADRBK2
GPRK4,AGC,GRK,GRK4
GPRK5,AGC,GRK,GRK5
GPRK6,AGC,GRK,GRK6
RHOK,AGC,GRK,GRK1
GPRK7,AGC,GRK,GRK7
MAST1,AGC,MAST,MAST1
MAST3,AGC,MAST,MAST3
MAST2,AGC,MAST,MAST2
MAST4,AGC,MAST,LOC375449
MASTL,AGC,MAST,MASTL
LATS1,AGC,NDR,LATS1
NDR1,AGC,NDR,STK38
NDR2,AGC,NDR,STK38L
LATS2,AGC,NDR,LATS2
PDK1,AGC,PDK1,PDPK1
PKACa,AGC,PKA,PRKACA
PKACb,AGC,PKA,PRKACB
PKACg,AGC,PKA,PRKACG
PRKX,AGC,PKA,PRKX
PRKY,AGC,PKA,PRKY
PKCa,AGC,PKC,PRKCA
PKCb,AGC,PKC,PRKCB1
PKCg,AGC,PKC,PRKCG
PKCd,AGC,PKC,PRKCD
PKCt,AGC,PKC,PRKCQ
PKCe,AGC,PKC,PRKCE
PKCh,AGC,PKC,PRKCH
PKCi,AGC,PKC,PRKCI
PKCz,AGC,PKC,PRKCZ
PKG1,AGC,PKG,PRKG1
PKG2,AGC,PKG,PRKG2
PKN1,AGC,PKN,PKN1
PKN2,AGC,PKN,PKN2
PKN3,AGC,PKN,PKN3
MSK2,AGC,RSK,RPS6KA4
MSK1,AGC,RSK,RPS6KA5
p70S6K,AGC,RSK,RPS6KB1
p70S6Kb,AGC,RSK,RPS6KB2
RSK3,AGC,RSK,RPS6KA1
RSK1,AGC,RSK,RPS6KA2
RSK2,AGC,RSK,RPS6KA3
RSK4,AGC,RSK,RPS6KA6
RSKL1,AGC,RSKL,RPS6KC1
RSKL2,AGC,RSKL,RPS6KL1
SgK494,AGC,RSKR,FLJ25006
SGK1,AGC,SGK,SGK
SGK2,AGC,SGK,SGK2
SGK3,AGC,SGK,SGK3
YANK2,AGC,YANK,STK32B
YANK1,AGC,YANK,STK32A
YANK3,AGC,YANK,STK32C
ADCK3,Atypical,ABC1,CABC1
ADCK4,Atypical,ABC1,ADCK4
ADCK1,Atypical,ABC1,ADCK1
ADCK5,Atypical,ABC1,ADCK5
ADCK2,Atypical,ABC1,ADCK2
AlphaK1,Atypical,Alpha,ALPK3
AlphaK3,Atypical,Alpha,ALPK1
AlphaK2,Atypical,Alpha,ALPK2
ChaK1,Atypical,Alpha,TRPM7
ChaK2,Atypical,Alpha,TRPM6
eEF2K,Atypical,Alpha,EEF2K
BCR,Atypical,BCR,BCR
BRDT,Atypical,BRD,BRDT
BRD2,Atypical,BRD,BRD2
BRD3,Atypical,BRD,BRD3
BRD4,Atypical,BRD,BRD4
FASTK,Atypical,FAST,FASTK
G11,Atypical,G11,STK19
H11,Atypical,H11,HSPB8
BCKDK,Atypical,PDHK,BCKDK
PDHK1,Atypical,PDHK,PDK1
PDHK2,Atypical,PDHK,PDK2
PDHK3,Atypical,PDHK,PDK3
PDHK4,Atypical,PDHK,PDK4
ATM,Atypical,PIKK,ATM
ATR,Atypical,PIKK,ATR
DNAPK,Atypical,PIKK,PRKDC
FRAP,Atypical,PIKK,FRAP1
SMG1,Atypical,PIKK,SMG1
TRRAP,Atypical,PIKK,TRRAP
RIOK1,Atypical,RIO,RIOK1
RIOK2,Atypical,RIO,RIOK2
RIOK3,Atypical,RIO,RIOK3
TAF1,Atypical,TAF1,TAF1
TAF1L,Atypical,TAF1,TAF1L
TIF1a,Atypical,TIF1,TRIM24
TIF1b,Atypical,TIF1,TRIM28
TIF1g,Atypical,TIF1,TRIM33
CaMK4,CAMK,CAMK1,CAMK4
CaMK1a,CAMK,CAMK1,CAMK1
CaMK1d,CAMK,CAMK1,CAMK1D
CaMK1g,CAMK,CAMK1,CAMK1G
CaMK1b,CAMK,CAMK1,PNCK
CaMK2a,CAMK,CAMK2,CAMK2A
CaMK2b,CAMK,CAMK2,CAMK2B
CaMK2d,CAMK,CAMK2,CAMK2D
CaMK2g,CAMK,CAMK2,CAMK2G
AMPKa1,CAMK,CAMKL,PRKAA1
AMPKa2,CAMK,CAMKL,PRKAA2
BRSK2,CAMK,CAMKL,BRSK2
BRSK1,CAMK,CAMKL,BRSK1
CHK1,CAMK,CAMKL,CHEK1
HUNK,CAMK,CAMKL,HUNK
LKB1,CAMK,CAMKL,STK11
MARK2,CAMK,CAMKL,MARK2
MARK1,CAMK,CAMKL,MARK1
MARK3,CAMK,CAMKL,MARK3
MARK4,CAMK,CAMKL,MARK4
MELK,CAMK,CAMKL,MELK
NIM1,CAMK,CAMKL,MGC42105
NuaK1,CAMK,CAMKL,NUAK1
NuaK2,CAMK,CAMKL,NUAK2
PASK,CAMK,CAMKL,PASK
QIK,CAMK,CAMKL,SNF1LK2
QSK,CAMK,CAMKL,KIAA0999
SIK,CAMK,CAMKL,SNF1LK
SNRK,CAMK,CAMKL,SNRK
STK33,CAMK,CAMK-Unique,STK33
VACAMKL,CAMK,CAMK-Unique,CAMKV
CASK,CAMK,CASK,CASK
DAPK1,CAMK,DAPK,DAPK1
DAPK3,CAMK,DAPK,DAPK3
DAPK2,CAMK,DAPK,DAPK2
DRAK2,CAMK,DAPK,STK17B
DRAK1,CAMK,DAPK,STK17A
DCLK1,CAMK,DCAMKL,DCAMKL1
DCLK3,CAMK,DCAMKL,DCAMKL3
DCLK2,CAMK,DCAMKL,DCAMKL2
MAPKAPK3,CAMK,MAPKAPK,MAPKAPK3
MAPKAPK5,CAMK,MAPKAPK,MAPKAPK5
MAPKAPK2,CAMK,MAPKAPK,MAPKAPK2
MNK2,CAMK,MAPKAPK,MKNK2
MNK1,CAMK,MAPKAPK,MKNK1
smMLCK,CAMK,MLCK,MYLK
TTN,CAMK,MLCK,TTN
skMLCK,CAMK,MLCK,MYLK2
caMLCK,CAMK,MLCK,MLCK
SgK085,CAMK,MLCK,RP11-145H9.1
