P31749,AKT1,P31749,RAC,RAC-ALPHA,PKB-ALPHA,PRKBA,AKT,PKB,AKT1,CWS6,,,,,,,,,
Q9UQB9,AURKC,SPGF5,AIE2,AIK3,Q9UQB9,HEL-S-90,aurora-C,AurC,AURKC,STK13,AIRK3,ARK3,,,,,,,
Q13882,PTK6,Q13882,BRK,PTK6,,,,,,,,,,,,,,,
O15075,DCLK1,DCAMKL1,KIAA0369,DCLK,DCLK1,DCDC3A,O15075,CL1,CLICK1,,,,,,,,,,
Q8NFD2,ANKK1,PKK2,ANKK1,Q8NFD2,SGK288,sgK288,,,,,,,,,,,,,
O00141,SGK1,SGK,SGK1,O00141,,,,,,,,,,,,,,,
Q8WZ42,TTN,Q8WZ42,CMPD4,EOMFC,MYLK5,CMH9,LGMD2J,TITIN,TMD,TTN,HMERF,CMD1G,LGMDR10,SALMY,,,,,
P42680,TEC,P42680,TEC,PSCTK4,,,,,,,,,,,,,,,
P42681,TXK,P42681,TXK,PTK4,RLK,TKL,PSCTK5,BTKL,,,,,,,,,,,
P42684,ABL2,ABL2,ABLL,P42684,ARG,,,,,,,,,,,,,,
P42685,FRK,FRK,GTK,PTK5,RAK,P42685,,,,,,,,,,,,,
O75582,RPS6KA5,RPS6KA5,O75582,MSK1,KS6A5,RLPK,MSPK1,,,,,,,,,,,,
O14638,ENPP3,PDNP3,PD-IBETA,NPP3,O14638,ENPP3,B10,CD203c,,,,,,,,,,,
Q05397,PTK2,PTK2,pp125FAK,FRNK,FAK,FAK1,Q05397,FADK,PPP1R71,p125FAK,,,,,,,,,
Q05823,RNASEL,RNS4,RN5A,RNASEL,PRCA1,Q05823,,,,,,,,,,,,,
Q01973,ROR1,Q01973,ROR1,NTRKR1,dJ537F10.1,,,,,,,,,,,,,,
P10721,KIT,PBT,MASTC,C-Kit,CD117,SCFR,KIT,P10721,,,,,,,,,,,
Q96C45,ULK4,FAM7C1,Q96C45,REC01035,ULK4,,,,,,,,,,,,,,
Q02846,GUCY2D,CACD1,GUCY2D,CYGD,retGC,RCD2,LCA,GUC1A4,ROSGC,GUC2D,RETGC1,LCA1,RETGC-1,CORD6,CORD5,Q02846,RETGC,ROS-GC1,
Q01974,ROR2,BDB1,BDB,ROR2,Q01974,NTRKR2,,,,,,,,,,,,,
P54753,EPHB3,P54753,EPHB3,HEK2,ETK2,TYRO6,EK2,,,,,,,,,,,,
P51956,NEK3,HSPK36,P51956,NEK3,,,,,,,,,,,,,,,
P54756,EPHA5,P54756,HEK7,EPHA5,EHK1,EHK-1,BSK,EK7,TYRO4,CEK7,,,,,,,,,
P51955,NEK2,NEK2,P51955,HsPK21,NEK2A,PPP1R111,NLK1,RP67,,,,,,,,,,,
Q00535,CDK5,Q00535,PSSALRE,CDK5,CDKN5,LIS7,,,,,,,,,,,,,
Q00534,CDK6,Q00534,MCPH12,CDK6,PLSTIRE,CDKN6,,,,,,,,,,,,,
Q00537,CDK17,Q00537,PCTK2,CDK17,PCTAIRE2,,,,,,,,,,,,,,
Q00536,CDK16,PCTAIRE,PCTGAIRE,Q00536,CDK16,PCTK1,PCTAIRE1,,,,,,,,,,,,
Q6XUX3,DSTYK,SPG23,CAKUT1,DSTYK,DustyPK,Q6XUX3,DUSTY,RIPK5,RIP5,SGK496,KIAA0472,HDCMD38P,,,,,,,
Q00532,CDKL1,CDKL1,KKIALRE,P42,Q00532,,,,,,,,,,,,,,
Q9Y6S9,RPS6KL1,RPKL1,Q9Y6S9,RPS6KL1,RSKL2,,,,,,,,,,,,,,
P49336,CDK8,CDK8,K35,P49336,,,,,,,,,,,,,,,
P15735,PHKG2,P15735,PHKG2,GSD9C,,,,,,,,,,,,,,,
P21675,TAF1,BA2R,DYT3,TAF1,TAF2A,TAFII-250,TAF(II)250,NSCL2,KAT4,P250,DYT3/TAF1,MRXS33,N-TAF1,TAFII250,P21675,CCGS,XDP,CCG1,OF
Q7RTN6,STRADA,LYK5,NY-BR-96,PMSE,Stlk,STRAD alpha,STRAD,Q7RTN6,STRADA,STRAA,,,,,,,,,
Q8IVW4,CDKL3,NKIAMRE,Q8IVW4,CDKL3,,,,,,,,,,,,,,,
Q8IWQ3,BRSK2,Q8IWQ3,C11orf7,BRSK2,PEN11B,SAD1,SADA,HUSSY-12,STK29,,,,,,,,,,
P53671,LIMK2,LIMK2,P53671,,,,,,,,,,,,,,,,
Q9UF33,EPHA6,EK12,EPA6,Q9UF33,EPHA6,EHK2,EHK-2,PRO57066,HEK12,,,,,,,,,,
Q8NER5,ACVR1C,ALK7,ACV1C,Q8NER5,ACVR1C,ACVRLK7,,,,,,,,,,,,,
Q8N165,PDIK1L,STK35L2,PDIK1L,CLIK1L,PDK1L,Q8N165,,,,,,,,,,,,,
P08922,ROS1,MCF3,ROS,P08922,ROS1,c-ros-1,,,,,,,,,,,,,
Q8IVH8,MAP4K3,M4K3,MAP4K3,GLK,MAPKKKK3,Q8IVH8,MEKKK 3,MEKKK3,RAB8IPL1,,,,,,,,,,
Q15759,MAPK11,SAPK2B,Q15759,p38Beta,MK11,p38-2,P38BETA2,MAPK11,PRKM11,SAPK2,P38B,,,,,,,,
Q86UX6,STK32C,STK32C,Q86UX6,PKE,ST32C,YANK3,,,,,,,,,,,,,
Q9UIG0,BAZ1B,WSTF,WBSCR10,Q9UIG0,WBSC10,BAZ1B,WBSCR9,,,,,,,,,,,,
P35968,KDR,FLK1,VEGFR,VGFR2,P35968,VEGFR2,CD309,KDR,,,,,,,,,,,
Q9UQ07,MOK,MOK,RAGE,STK30,Q9UQ07,RAGE-1,RAGE1,,,,,,,,,,,,
Q9H4B4,PLK3,PLK-3,PLK3,PRK,Q9H4B4,FNK,CNK,,,,,,,,,,,,
Q9Y2U5,MAP3K2,M3K2,Q9Y2U5,MEKK2B,MAP3K2,MEKK2,MAPKKK2,,,,,,,,,,,,
Q13470,TNK1,TNK1,Q13470,,,,,,,,,,,,,,,,
